initiative_id,name,workstream,type,owner,plan_runrate,current_estimate,stage,days_in_stage,planned_month,delivered_month,cta_budget,cta_spent
S023,Merge telephony and network,IT & systems,Cost,CFO,394000.0,384000.0,Delivered,33,9,8.0,91000.0,114000.0
S024,Single CRM instance,IT & systems,Cost,Group Procurement,177000.0,160000.0,Identified,52,16,,41000.0,2000.0
S025,Decommission legacy scheduling,IT & systems,Cost,CIO,110000.0,104000.0,In execution,32,17,,26000.0,40000.0
S026,Combine employer liability cover,Insurance & risk,Cost,COO,324000.0,324000.0,Delivered,74,12,12.0,79000.0,93000.0
S027,Harmonise fleet insurance,Insurance & risk,Cost,CCO,250000.0,297000.0,Banked,18,8,10.0,73000.0,98000.0
S028,Single broker appointment,Insurance & risk,Cost,Integration MD,426000.0,343000.0,Delivered,37,9,8.0,148000.0,153000.0
S029,Mechanical services into Pentland electrical base,Cross-sell,Revenue,Group Procurement,607000.0,550000.0,Identified,93,23,,67000.0,1000.0
S030,Compliance testing into Wexford accounts,Cross-sell,Revenue,Group Procurement,479000.0,479000.0,Identified,430,21,,129000.0,0.0
S031,Bundled planned maintenance offer,Cross-sell,Revenue,CCO,687000.0,741000.0,Identified,124,22,,179000.0,21000.0
S032,Fire safety into industrial estate portfolio,Cross-sell,Revenue,Group Procurement,629000.0,530000.0,Validated,157,17,,150000.0,142000.0
S033,HVAC retrofit into public sector base,Cross-sell,Revenue,COO,1103000.0,894000.0,Validated,129,12,,294000.0,313000.0
S034,Energy monitoring into national accounts,Cross-sell,Revenue,CCO,350000.0,275000.0,In execution,47,16,,18000.0,20000.0
S035,Water hygiene into Pentland healthcare,Cross-sell,Revenue,CFO,358000.0,431000.0,Validated,115,20,,106000.0,145000.0
S036,Reactive cover into Wexford framework clients,Cross-sell,Revenue,COO,186000.0,142000.0,Validated,110,22,,36000.0,40000.0
S037,Align call-out rate card,Pricing harmonisation,Revenue,COO,390000.0,334000.0,Validated,416,18,,89000.0,73000.0
S038,Standardise contract uplift mechanism,Pricing harmonisation,Revenue,CCO,194000.0,238000.0,In execution,91,15,,42000.0,57000.0
S039,Harmonise parts margin,Pricing harmonisation,Revenue,Integration MD,704000.0,591000.0,Identified,82,21,,214000.0,48000.0
S040,Remove legacy discount grandfathering,Pricing harmonisation,Revenue,CFO,244000.0,261000.0,Validated,176,18,,85000.0,83000.0
S041,Align out-of-hours premium,Pricing harmonisation,Revenue,CFO,669000.0,680000.0,Validated,73,19,,158000.0,181000.0
S042,Wexford services into Pentland's South West footprint,Geographic expansion,Revenue,Integration MD,249000.0,218000.0,Delivered,16,12,13.0,87000.0,91000.0
S043,Pentland coverage into Wexford's North East,Geographic expansion,Revenue,COO,137000.0,118000.0,Identified,430,18,,25000.0,4000.0
S044,Joint Scotland mobilisation,Geographic expansion,Revenue,CFO,130000.0,161000.0,Identified,38,20,,40000.0,12000.0
S045,Shared depot network into East Anglia,Geographic expansion,Revenue,Integration MD,220000.0,270000.0,Identified,170,20,,47000.0,3000.0
S046,Combined Wales coverage,Geographic expansion,Revenue,CIO,664000.0,507000.0,Identified,185,17,,182000.0,35000.0
